# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_rats_kitchen_v1_sgedit_gmod
# Exported by: Werewolf12 #FixTF2
setting:	replacespawns 0
weapon_ttt_smokegrenade	-1358.269531 -1615.902710 2344.179932	-1.826 -1.448 -0.999
item_ammo_smg1_ttt	-371.876587 -147.914047 2276.547852	0.967 0.021 -0.574
item_ammo_smg1_ttt	-385.764160 -148.667282 2276.546387	-0.211 2.014 0.028
item_ammo_smg1_ttt	-383.730804 -168.435043 2276.505859	0.589 1.932 0.001
item_ammo_smg1_ttt	-988.054810 2.626641 1732.538452	-0.134 0.018 -0.118
item_ammo_smg1_ttt	-939.950867 5.429980 1732.417480	-0.047 0.015 -0.024
item_ammo_smg1_ttt	-961.005798 -56.650440 1732.506958	0.481 -0.011 -0.379
item_ammo_smg1_ttt	-1249.814087 -155.513641 1732.404175	0.190 -0.005 0.116
item_ammo_smg1_ttt	-1269.848633 -159.145111 1732.521973	-0.174 -0.039 -0.057
item_ammo_smg1_ttt	-1270.894775 -181.269730 1741.703247	-0.281 14.204 87.802
item_ammo_smg1_ttt	-2370.692627 -530.900940 2132.475830	-0.561 0.014 0.251
item_ammo_smg1_ttt	-2370.968262 -511.111755 2132.530762	0.330 0.019 -0.159
item_ammo_smg1_ttt	-2396.405762 -535.269104 2132.505859	-0.530 0.009 -0.409
item_ammo_smg1_ttt	-2271.905273 -1100.544434 2012.529053	-0.128 0.088 -0.151
item_ammo_smg1_ttt	-2283.841553 -1115.029297 2012.555054	-0.554 0.146 -0.317
item_ammo_smg1_ttt	-2473.274902 -1269.992310 2012.467285	0.163 -0.101 0.085
item_ammo_smg1_ttt	-2450.720947 -1270.002930 2012.466064	-0.388 -0.253 -0.513
item_ammo_smg1_ttt	-2318.934570 -652.938293 1764.540039	0.124 0.152 -0.098
item_ammo_smg1_ttt	-2342.712646 -653.027771 1764.521606	0.235 -0.015 -0.199
item_ammo_smg1_ttt	-2517.378174 -1617.930176 1756.513672	0.774 0.017 -0.447
item_ammo_smg1_ttt	-2501.945801 -1617.986450 1756.452393	0.049 -0.008 -0.029
item_ammo_smg1_ttt	-2281.526611 -841.622681 1468.534668	-0.681 -0.008 0.476
item_ammo_smg1_ttt	-2295.412598 -840.323547 1468.533203	0.156 -0.016 -0.136
item_ammo_smg1_ttt	-383.578400 -201.531494 2032.540894	0.553 -0.007 -0.413
item_ammo_smg1_ttt	-368.582428 -204.763474 2032.513184	0.435 0.479 0.087
item_ammo_smg1_ttt	-351.245026 -207.250595 2038.004272	88.892 -17.831 -16.404
item_ammo_smg1_ttt	-1962.688599 -1059.110718 1348.496094	0.218 1.630 0.094
item_ammo_smg1_ttt	-1957.035034 -1039.182861 1348.537842	0.234 0.573 0.019
item_ammo_smg1_ttt	-1014.702209 191.374451 1440.640137	0.118 -8.013 87.523
item_ammo_smg1_ttt	-1042.993896 180.609619 1431.519775	0.442 0.017 -0.232
item_ammo_smg1_ttt	-437.288147 164.410492 1448.391602	-0.110 -0.005 -0.062
item_ammo_smg1_ttt	-406.408203 177.124619 1448.549194	-0.074 0.018 -0.065
item_ammo_smg1_ttt	-358.813873 -959.401917 1372.502563	-0.802 0.013 -0.597
item_ammo_smg1_ttt	-380.495880 -957.268921 1372.422485	0.480 -0.004 0.310
item_ammo_smg1_ttt	-350.771301 -1253.733032 1372.428833	0.680 -0.003 0.444
item_ammo_smg1_ttt	-368.063721 -1254.082764 1372.424438	0.541 -0.004 0.351
item_ammo_smg1_ttt	-476.735870 -1541.930054 1708.493530	-0.381 -0.007 -0.181
item_ammo_smg1_ttt	-464.305573 -1530.957153 1708.559204	0.684 -0.198 0.429
item_ammo_smg1_ttt	-387.709381 -1377.509155 1708.508423	-0.529 0.187 0.328
item_ammo_smg1_ttt	-378.663666 -1397.309937 1708.540771	0.204 0.817 -0.016
item_ammo_smg1_ttt	-882.323181 -1449.272339 1348.399414	0.152 -0.005 0.090
item_ammo_smg1_ttt	-874.290405 -1421.602661 1348.517822	-0.200 -0.640 -0.443
item_ammo_smg1_ttt	-1431.844727 -1052.773560 1348.530029	-0.333 -0.093 -0.212
item_ammo_smg1_ttt	-1419.714722 -1041.902222 1348.473511	-0.193 0.007 0.021
item_ammo_smg1_ttt	-1099.177246 -597.831726 1348.482910	-0.074 -0.002 -0.170
item_ammo_smg1_ttt	-1113.244263 -596.874817 1348.493652	-0.928 -0.021 -0.542
item_ammo_smg1_ttt	-1394.840454 -1616.552612 2344.426514	-0.590 0.003 0.384
item_ammo_smg1_ttt	-1407.978149 -1614.861572 2344.404297	-0.188 0.005 0.114
item_ammo_smg1_ttt	-1422.143921 -1617.254272 2344.408936	-0.234 0.005 0.145
weapon_ttt_m16	-2286.800049 -1148.750000 2295.209961	0.000 0.000 85.000
weapon_ttt_m16	-2288.540039 -643.651978 2295.209961	0.000 0.000 85.000
weapon_ttt_m16	-2169.830078 -869.648010 1767.209961	0.000 0.000 85.000
weapon_ttt_m16	-2431.389893 -423.804993 2035.209961	0.000 0.000 85.000
weapon_ttt_m16	-2418.840088 -308.204987 1651.209961	0.000 0.000 85.000
weapon_ttt_m16	-2518.219971 -40.301300 1351.209961	0.000 0.000 85.000
weapon_ttt_m16	-2354.610107 -865.541016 1631.209961	0.000 0.000 85.000
weapon_ttt_m16	-2265.290039 -1131.390015 1471.209961	0.000 0.000 85.000
weapon_ttt_m16	-961.393982 -68.014397 2157.209961	0.000 0.000 85.000
weapon_ttt_m16	-815.645020 2.697270 1735.209961	0.000 0.000 85.000
weapon_ttt_m16	-1025.390015 -172.223007 1431.209961	0.000 0.000 85.000
weapon_ttt_m16	-166.317001 -207.927002 2279.209961	0.000 0.000 85.000
weapon_ttt_m16	-263.524994 -814.513977 2119.209961	0.000 0.000 85.000
weapon_ttt_m16	-333.384003 -1359.369995 1975.209961	0.000 0.000 85.000
weapon_ttt_m16	-163.369003 -937.604004 1711.209961	0.000 0.000 85.000
weapon_ttt_m16	-238.335999 -1525.520020 1375.209961	0.000 0.000 85.000
weapon_ttt_m16	-261.453003 -237.028000 1447.209961	0.000 0.000 85.000
weapon_ttt_m16	-462.481995 -162.449005 1447.209961	0.000 0.000 85.000
weapon_ttt_m16	-1438.180054 -1003.020020 1719.209961	0.000 0.000 85.000
weapon_ttt_m16	-1410.410034 -616.523010 1719.209961	0.000 0.000 85.000
weapon_ttt_m16	-1817.239990 -501.682007 1351.209961	0.000 0.000 85.000
weapon_ttt_m16	-1475.630005 -396.178009 1351.209961	0.000 0.000 85.000
weapon_ttt_m16	-1614.449951 -1575.619995 1351.209961	0.000 0.000 85.000
weapon_ttt_m16	-984.280029 -249.065002 1351.209961	0.000 0.000 85.000
weapon_ttt_m16	-1757.859985 19.549400 1351.209961	0.000 0.000 85.000
weapon_ttt_m16	-2530.570068 16.842699 2563.209961	0.000 0.000 85.000
weapon_ttt_m16	-2286.800049 -1148.750000 2295.209961	0.000 0.000 85.000
weapon_ttt_m16	-2288.540039 -643.651978 2295.209961	0.000 0.000 85.000
weapon_ttt_m16	-2169.830078 -869.648010 1767.209961	0.000 0.000 85.000
weapon_ttt_m16	-2431.389893 -423.804993 2035.209961	0.000 0.000 85.000
weapon_ttt_m16	-2418.840088 -308.204987 1651.209961	0.000 0.000 85.000
weapon_ttt_m16	-2518.219971 -40.301300 1351.209961	0.000 0.000 85.000
weapon_ttt_m16	-2354.610107 -865.541016 1631.209961	0.000 0.000 85.000
weapon_ttt_m16	-2265.290039 -1131.390015 1471.209961	0.000 0.000 85.000
weapon_ttt_m16	-961.393982 -68.014397 2157.209961	0.000 0.000 85.000
weapon_ttt_m16	-815.645020 2.697270 1735.209961	0.000 0.000 85.000
weapon_ttt_m16	-1025.390015 -172.223007 1431.209961	0.000 0.000 85.000
weapon_ttt_m16	-166.317001 -207.927002 2279.209961	0.000 0.000 85.000
weapon_ttt_m16	-263.524994 -814.513977 2119.209961	0.000 0.000 85.000
weapon_ttt_m16	-333.384003 -1359.369995 1975.209961	0.000 0.000 85.000
weapon_ttt_m16	-163.369003 -937.604004 1711.209961	0.000 0.000 85.000
weapon_ttt_m16	-238.335999 -1525.520020 1375.209961	0.000 0.000 85.000
weapon_ttt_m16	-261.453003 -237.028000 1447.209961	0.000 0.000 85.000
weapon_ttt_m16	-462.481995 -162.449005 1447.209961	0.000 0.000 85.000
weapon_ttt_m16	-1438.180054 -1003.020020 1719.209961	0.000 0.000 85.000
weapon_ttt_m16	-1410.410034 -616.523010 1719.209961	0.000 0.000 85.000
weapon_ttt_m16	-1817.239990 -501.682007 1351.209961	0.000 0.000 85.000
weapon_ttt_m16	-1475.630005 -396.178009 1351.209961	0.000 0.000 85.000
weapon_ttt_m16	-1614.449951 -1575.619995 1351.209961	0.000 0.000 85.000
weapon_ttt_m16	-984.280029 -249.065002 1351.209961	0.000 0.000 85.000
weapon_ttt_m16	-1757.859985 19.549400 1351.209961	0.000 0.000 85.000
weapon_ttt_m16	-2530.570068 16.842699 2563.209961	0.000 0.000 85.000
weapon_ttt_m16	-2286.800049 -1148.750000 2295.209961	0.000 0.000 85.000
weapon_ttt_m16	-2288.540039 -643.651978 2295.209961	0.000 0.000 85.000
weapon_ttt_m16	-2169.830078 -869.648010 1767.209961	0.000 0.000 85.000
weapon_ttt_m16	-2431.389893 -423.804993 2035.209961	0.000 0.000 85.000
weapon_ttt_m16	-2418.840088 -308.204987 1651.209961	0.000 0.000 85.000
weapon_ttt_m16	-2518.219971 -40.301300 1351.209961	0.000 0.000 85.000
weapon_ttt_m16	-2354.610107 -865.541016 1631.209961	0.000 0.000 85.000
weapon_ttt_m16	-2265.290039 -1131.390015 1471.209961	0.000 0.000 85.000
weapon_ttt_m16	-961.393982 -68.014397 2157.209961	0.000 0.000 85.000
weapon_ttt_m16	-815.645020 2.697270 1735.209961	0.000 0.000 85.000
weapon_ttt_m16	-1025.390015 -172.223007 1431.209961	0.000 0.000 85.000
weapon_ttt_m16	-166.317001 -207.927002 2279.209961	0.000 0.000 85.000
weapon_ttt_m16	-263.524994 -814.513977 2119.209961	0.000 0.000 85.000
weapon_ttt_m16	-333.384003 -1359.369995 1975.209961	0.000 0.000 85.000
weapon_ttt_m16	-163.369003 -937.604004 1711.209961	0.000 0.000 85.000
weapon_ttt_m16	-238.335999 -1525.520020 1375.209961	0.000 0.000 85.000
weapon_ttt_m16	-261.453003 -237.028000 1447.209961	0.000 0.000 85.000
weapon_ttt_m16	-462.481995 -162.449005 1447.209961	0.000 0.000 85.000
weapon_ttt_m16	-1438.180054 -1003.020020 1719.209961	0.000 0.000 85.000
weapon_ttt_m16	-1410.410034 -616.523010 1719.209961	0.000 0.000 85.000
weapon_ttt_m16	-1817.239990 -501.682007 1351.209961	0.000 0.000 85.000
weapon_ttt_m16	-1475.630005 -396.178009 1351.209961	0.000 0.000 85.000
weapon_ttt_m16	-1614.449951 -1575.619995 1351.209961	0.000 0.000 85.000
weapon_ttt_m16	-984.280029 -249.065002 1351.209961	0.000 0.000 85.000
weapon_ttt_m16	-1757.859985 19.549400 1351.209961	0.000 0.000 85.000
weapon_ttt_m16	-2530.570068 16.842699 2563.209961	0.000 0.000 85.000
weapon_ttt_m16	-2286.800049 -1148.750000 2295.209961	0.000 0.000 85.000
weapon_ttt_m16	-2288.540039 -643.651978 2295.209961	0.000 0.000 85.000
weapon_ttt_m16	-2169.830078 -869.648010 1767.209961	0.000 0.000 85.000
weapon_ttt_m16	-2431.389893 -423.804993 2035.209961	0.000 0.000 85.000
weapon_ttt_m16	-2418.840088 -308.204987 1651.209961	0.000 0.000 85.000
weapon_ttt_m16	-2518.219971 -40.301300 1351.209961	0.000 0.000 85.000
weapon_ttt_m16	-2354.610107 -865.541016 1631.209961	0.000 0.000 85.000
weapon_ttt_m16	-2265.290039 -1131.390015 1471.209961	0.000 0.000 85.000
weapon_ttt_m16	-961.393982 -68.014397 2157.209961	0.000 0.000 85.000
weapon_ttt_m16	-815.645020 2.697270 1735.209961	0.000 0.000 85.000
weapon_ttt_m16	-1025.390015 -172.223007 1431.209961	0.000 0.000 85.000
weapon_ttt_m16	-166.317001 -207.927002 2279.209961	0.000 0.000 85.000
weapon_ttt_m16	-263.524994 -814.513977 2119.209961	0.000 0.000 85.000
weapon_ttt_m16	-333.384003 -1359.369995 1975.209961	0.000 0.000 85.000
weapon_ttt_m16	-163.369003 -937.604004 1711.209961	0.000 0.000 85.000
weapon_ttt_m16	-238.335999 -1525.520020 1375.209961	0.000 0.000 85.000
weapon_ttt_m16	-261.453003 -237.028000 1447.209961	0.000 0.000 85.000
weapon_ttt_m16	-462.481995 -162.449005 1447.209961	0.000 0.000 85.000
weapon_ttt_m16	-1438.180054 -1003.020020 1719.209961	0.000 0.000 85.000
weapon_ttt_m16	-1410.410034 -616.523010 1719.209961	0.000 0.000 85.000
weapon_ttt_m16	-1817.239990 -501.682007 1351.209961	0.000 0.000 85.000
weapon_ttt_m16	-1475.630005 -396.178009 1351.209961	0.000 0.000 85.000
weapon_ttt_m16	-1614.449951 -1575.619995 1351.209961	0.000 0.000 85.000
weapon_ttt_m16	-984.280029 -249.065002 1351.209961	0.000 0.000 85.000
weapon_ttt_m16	-1757.859985 19.549400 1351.209961	0.000 0.000 85.000
weapon_ttt_m16	-2530.570068 16.842699 2563.209961	0.000 0.000 85.000
item_box_buckshot_ttt	-2021.751709 -1191.576660 1605.453491	0.518 -0.008 0.424
item_box_buckshot_ttt	-2012.864136 -1193.062012 1605.397827	1.061 0.000 0.868
item_box_buckshot_ttt	-2002.710327 -1193.157471 1605.347412	0.720 0.003 -0.576
item_box_buckshot_ttt	-2481.629639 -1274.574585 1764.404175	0.233 -0.001 0.076
item_box_buckshot_ttt	-2471.217285 -1268.997925 1764.415894	-0.572 0.017 0.150
item_box_buckshot_ttt	-2463.429199 -1266.156128 1764.423706	-0.436 -2.197 -0.228
item_box_buckshot_ttt	-2279.712646 -1239.033936 1628.414062	0.599 -0.002 -0.317
item_box_buckshot_ttt	-2267.905762 -1241.042358 1628.374146	-0.218 0.003 0.167
item_box_buckshot_ttt	-2470.653320 -303.064514 1380.422974	-0.754 -0.011 0.583
item_box_buckshot_ttt	-2454.518066 -302.209198 1380.389160	-0.995 0.018 0.883
item_box_buckshot_ttt	-2446.280518 -307.733337 1380.386230	-1.305 -0.017 1.141
item_box_buckshot_ttt	-321.053436 -227.359589 1732.413208	-0.987 0.002 0.779
item_box_buckshot_ttt	-329.855713 -227.037170 1732.415894	-0.669 0.908 0.555
item_box_buckshot_ttt	-343.563843 -217.942841 1738.450073	-58.378 134.130 179.452
item_box_buckshot_ttt	-215.659409 -1461.223267 1972.394165	0.242 0.014 -0.014
item_box_buckshot_ttt	-209.215012 -1450.985474 1972.479980	0.769 -0.065 -0.179
item_box_buckshot_ttt	-222.676041 -1451.074097 1972.439087	-0.622 -0.007 0.677
item_box_buckshot_ttt	-849.132446 -17.356415 1428.414551	-0.757 -0.006 0.677
item_box_buckshot_ttt	-848.089111 -26.774830 1428.393677	-1.034 -0.008 0.815
item_box_buckshot_ttt	-301.809296 -1525.288208 1556.385376	-1.005 -0.011 0.899
item_box_buckshot_ttt	-283.735809 -1522.396240 1556.453735	-0.678 -0.006 0.554
item_box_buckshot_ttt	-1219.533447 -1289.899658 1348.378052	0.195 0.003 -0.107
item_box_buckshot_ttt	-1212.179932 -1280.791626 1348.381836	-0.207 0.001 0.252
item_box_buckshot_ttt	-1426.109009 -617.013672 1348.440796	-0.638 -0.006 0.542
item_box_buckshot_ttt	-1413.366089 -616.796997 1348.347412	0.709 0.003 -0.566
item_box_buckshot_ttt	-611.113953 -348.837799 1348.399658	-0.867 -0.011 0.777
item_box_buckshot_ttt	-615.636169 -357.951813 1348.433228	1.946 -0.185 -0.473
item_box_buckshot_ttt	-1324.243164 -202.989517 1348.440674	-0.598 -0.003 0.470
item_box_buckshot_ttt	-1320.063843 -218.438690 1348.374023	0.756 -0.022 -0.527
item_box_buckshot_ttt	-1380.283936 -192.850082 1348.355469	1.043 0.000 -0.839
weapon_zm_rifle	-2288.370117 -508.084991 2135.209961	0.000 0.000 85.000
weapon_zm_rifle	-2297.449951 -199.136993 1991.209961	0.000 0.000 85.000
weapon_zm_rifle	-2297.179932 -205.597000 1991.209961	0.000 0.000 85.000
weapon_zm_rifle	-2470.370117 -504.437988 1383.209961	0.000 0.000 85.000
weapon_zm_rifle	-2515.000000 -1571.250000 1351.209961	0.000 0.000 85.000
weapon_zm_rifle	-1238.920044 -1.801760 2115.209961	0.000 0.000 85.000
weapon_zm_rifle	-1051.650024 -66.064697 2157.209961	0.000 0.000 85.000
weapon_zm_rifle	-217.078003 -811.145996 2295.209961	0.000 0.000 85.000
weapon_zm_rifle	-195.600006 -1214.739990 2295.209961	0.000 0.000 85.000
weapon_zm_rifle	-1069.939941 -766.911011 1719.209961	0.000 0.000 85.000
weapon_zm_rifle	-1997.839966 -1352.939941 1351.209961	0.000 0.000 85.000
weapon_zm_rifle	-885.494019 -829.515015 1351.209961	0.000 0.000 85.000
weapon_zm_rifle	-2257.350098 -1262.930054 1767.410034	0.000 0.000 85.000
weapon_zm_rifle	-2507.699951 -1596.150024 2563.209961	0.000 0.000 85.000
weapon_zm_rifle	-221.582993 -1528.560059 2563.209961	0.000 0.000 85.000
weapon_zm_rifle	-120.656998 33.026199 2563.209961	0.000 0.000 85.000
weapon_zm_rifle	-2288.370117 -508.084991 2135.209961	0.000 0.000 85.000
weapon_zm_rifle	-2297.449951 -199.136993 1991.209961	0.000 0.000 85.000
weapon_zm_rifle	-2297.179932 -205.597000 1991.209961	0.000 0.000 85.000
weapon_zm_rifle	-2470.370117 -504.437988 1383.209961	0.000 0.000 85.000
weapon_zm_rifle	-2515.000000 -1571.250000 1351.209961	0.000 0.000 85.000
weapon_zm_rifle	-1238.920044 -1.801760 2115.209961	0.000 0.000 85.000
weapon_zm_rifle	-1051.650024 -66.064697 2157.209961	0.000 0.000 85.000
weapon_zm_rifle	-217.078003 -811.145996 2295.209961	0.000 0.000 85.000
weapon_zm_rifle	-195.600006 -1214.739990 2295.209961	0.000 0.000 85.000
weapon_zm_rifle	-1069.939941 -766.911011 1719.209961	0.000 0.000 85.000
weapon_zm_rifle	-1997.839966 -1352.939941 1351.209961	0.000 0.000 85.000
weapon_zm_rifle	-885.494019 -829.515015 1351.209961	0.000 0.000 85.000
weapon_zm_rifle	-2257.350098 -1262.930054 1767.410034	0.000 0.000 85.000
weapon_zm_rifle	-2507.699951 -1596.150024 2563.209961	0.000 0.000 85.000
weapon_zm_rifle	-221.582993 -1528.560059 2563.209961	0.000 0.000 85.000
weapon_zm_rifle	-120.656998 33.026199 2563.209961	0.000 0.000 85.000
weapon_zm_rifle	-2288.370117 -508.084991 2135.209961	0.000 0.000 85.000
weapon_zm_rifle	-2297.449951 -199.136993 1991.209961	0.000 0.000 85.000
weapon_zm_rifle	-2297.179932 -205.597000 1991.209961	0.000 0.000 85.000
weapon_zm_rifle	-2470.370117 -504.437988 1383.209961	0.000 0.000 85.000
weapon_zm_rifle	-2515.000000 -1571.250000 1351.209961	0.000 0.000 85.000
weapon_zm_rifle	-1238.920044 -1.801760 2115.209961	0.000 0.000 85.000
weapon_zm_rifle	-1051.650024 -66.064697 2157.209961	0.000 0.000 85.000
weapon_zm_rifle	-217.078003 -811.145996 2295.209961	0.000 0.000 85.000
weapon_zm_rifle	-195.600006 -1214.739990 2295.209961	0.000 0.000 85.000
weapon_zm_rifle	-1069.939941 -766.911011 1719.209961	0.000 0.000 85.000
weapon_zm_rifle	-1997.839966 -1352.939941 1351.209961	0.000 0.000 85.000
weapon_zm_rifle	-885.494019 -829.515015 1351.209961	0.000 0.000 85.000
weapon_zm_rifle	-2257.350098 -1262.930054 1767.410034	0.000 0.000 85.000
weapon_zm_rifle	-2507.699951 -1596.150024 2563.209961	0.000 0.000 85.000
weapon_zm_rifle	-221.582993 -1528.560059 2563.209961	0.000 0.000 85.000
weapon_zm_rifle	-120.656998 33.026199 2563.209961	0.000 0.000 85.000
weapon_zm_rifle	-2288.370117 -508.084991 2135.209961	0.000 0.000 85.000
weapon_zm_rifle	-2297.449951 -199.136993 1991.209961	0.000 0.000 85.000
weapon_zm_rifle	-2297.179932 -205.597000 1991.209961	0.000 0.000 85.000
weapon_zm_rifle	-2470.370117 -504.437988 1383.209961	0.000 0.000 85.000
weapon_zm_rifle	-2515.000000 -1571.250000 1351.209961	0.000 0.000 85.000
weapon_zm_rifle	-1238.920044 -1.801760 2115.209961	0.000 0.000 85.000
weapon_zm_rifle	-1051.650024 -66.064697 2157.209961	0.000 0.000 85.000
weapon_zm_rifle	-217.078003 -811.145996 2295.209961	0.000 0.000 85.000
weapon_zm_rifle	-195.600006 -1214.739990 2295.209961	0.000 0.000 85.000
weapon_zm_rifle	-1069.939941 -766.911011 1719.209961	0.000 0.000 85.000
weapon_zm_rifle	-1997.839966 -1352.939941 1351.209961	0.000 0.000 85.000
weapon_zm_rifle	-885.494019 -829.515015 1351.209961	0.000 0.000 85.000
weapon_zm_rifle	-2257.350098 -1262.930054 1767.410034	0.000 0.000 85.000
weapon_zm_rifle	-2507.699951 -1596.150024 2563.209961	0.000 0.000 85.000
weapon_zm_rifle	-221.582993 -1528.560059 2563.209961	0.000 0.000 85.000
weapon_zm_rifle	-120.656998 33.026199 2563.209961	0.000 0.000 85.000
weapon_zm_mac10	-2282.360107 -1149.599976 2015.209961	0.000 0.000 85.000
weapon_zm_mac10	-2497.169922 -1241.170044 2015.209961	0.000 0.000 85.000
weapon_zm_mac10	-2305.770020 -663.693970 1767.209961	0.000 0.000 85.000
weapon_zm_mac10	-2536.820068 -1614.140015 1759.209961	0.000 0.000 85.000
weapon_zm_mac10	-2396.489990 -508.807007 2135.209961	0.000 0.000 85.000
weapon_zm_mac10	-1371.329956 -1620.119995 2347.209961	0.000 0.000 85.000
weapon_zm_mac10	-2287.020020 -854.419006 1471.209961	0.000 0.000 85.000
weapon_zm_mac10	-378.936005 -213.783005 2035.209961	0.000 0.000 85.000
weapon_zm_mac10	-965.969971 5.177860 1735.209961	0.000 0.000 85.000
weapon_zm_mac10	-1265.459961 -134.421997 1735.209961	0.000 0.000 85.000
weapon_zm_mac10	-1056.119995 200.050995 1434.209961	0.000 0.000 85.000
weapon_zm_mac10	-437.907013 199.195999 1451.209961	0.000 0.000 85.000
weapon_zm_mac10	-377.618011 -130.832001 2279.209961	0.000 0.000 85.000
weapon_zm_mac10	-346.859009 -1372.099976 1711.209961	0.000 0.000 85.000
weapon_zm_mac10	-501.786011 -1552.439941 1711.209961	0.000 0.000 85.000
weapon_zm_mac10	-332.209991 -1231.089966 1375.209961	0.000 0.000 85.000
weapon_zm_mac10	-342.148010 -951.591003 1375.209961	0.000 0.000 85.000
weapon_zm_mac10	-841.247986 -1431.000000 1351.209961	0.000 0.000 85.000
weapon_zm_mac10	-1250.140015 -885.411011 1735.209961	0.000 0.000 85.000
weapon_zm_mac10	-1941.579956 -1045.229980 1351.209961	0.000 0.000 85.000
weapon_zm_mac10	-1412.069946 -1053.790039 1351.209961	0.000 0.000 85.000
weapon_zm_mac10	-1097.530029 -617.104980 1351.209961	0.000 0.000 85.000
weapon_zm_mac10	-2282.360107 -1149.599976 2015.209961	0.000 0.000 85.000
weapon_zm_mac10	-2497.169922 -1241.170044 2015.209961	0.000 0.000 85.000
weapon_zm_mac10	-2305.770020 -663.693970 1767.209961	0.000 0.000 85.000
weapon_zm_mac10	-2536.820068 -1614.140015 1759.209961	0.000 0.000 85.000
weapon_zm_mac10	-2396.489990 -508.807007 2135.209961	0.000 0.000 85.000
weapon_zm_mac10	-1371.329956 -1620.119995 2347.209961	0.000 0.000 85.000
weapon_zm_mac10	-2287.020020 -854.419006 1471.209961	0.000 0.000 85.000
weapon_zm_mac10	-378.936005 -213.783005 2035.209961	0.000 0.000 85.000
weapon_zm_mac10	-965.969971 5.177860 1735.209961	0.000 0.000 85.000
weapon_zm_mac10	-1265.459961 -134.421997 1735.209961	0.000 0.000 85.000
weapon_zm_mac10	-1056.119995 200.050995 1434.209961	0.000 0.000 85.000
weapon_zm_mac10	-437.907013 199.195999 1451.209961	0.000 0.000 85.000
weapon_zm_mac10	-377.618011 -130.832001 2279.209961	0.000 0.000 85.000
weapon_zm_mac10	-346.859009 -1372.099976 1711.209961	0.000 0.000 85.000
weapon_zm_mac10	-501.786011 -1552.439941 1711.209961	0.000 0.000 85.000
weapon_zm_mac10	-332.209991 -1231.089966 1375.209961	0.000 0.000 85.000
weapon_zm_mac10	-342.148010 -951.591003 1375.209961	0.000 0.000 85.000
weapon_zm_mac10	-841.247986 -1431.000000 1351.209961	0.000 0.000 85.000
